CLV,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Response,Gender,Total Claim Amount,Coverage,Education,Location Code,Marital Status,Policy Type,Label,State,EmploymentStatus,Policy,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size
2763.519279,56274,69,32,5,0,1,0,0,384.811147,0,1,1,1,0,2,Washington,Employed,Corporate L3,Offer1,Agent,Two-Door Car,Medsize
6979.535903,0,94,13,42,0,8,0,0,1131.464935,1,1,1,0,1,1,Arizona,Unemployed,Personal L3,Offer3,Agent,Four-Door Car,Medsize
12887.43165,48767,108,18,38,0,2,0,0,566.472247,2,1,1,1,1,2,Nevada,Employed,Personal L3,Offer1,Agent,Two-Door Car,Medsize
7645.861827,0,106,18,65,0,7,0,1,529.881344,0,1,1,1,0,0,California,Unemployed,Corporate L2,Offer1,Call Center,SUV,Medsize
2813.692575,43836,73,12,44,0,1,0,1,138.130879,0,1,0,0,1,1,Washington,Employed,Personal L1,Offer1,Agent,Four-Door Car,Medsize
8256.2978,62902,69,14,94,0,2,1,0,159.383042,0,1,0,1,1,2,Oregon,Employed,Personal L3,Offer2,Web,Two-Door Car,Medsize
5380.898636,55350,67,0,13,0,9,1,0,321.6,0,1,1,1,0,0,Oregon,Employed,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
7216.100311,0,101,0,68,0,4,0,1,363.02968,2,2,2,0,0,0,Arizona,Unemployed,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
24127.50402,14072,71,13,3,0,2,1,1,511.2,0,1,1,0,0,0,Oregon,Medical Leave,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
7388.178085,28812,93,17,7,0,8,0,0,425.527834,1,1,2,1,2,1,Oregon,Employed,Special L2,Offer2,Branch,Four-Door Car,Medsize
4738.992022,0,67,23,5,0,3,0,1,482.4,0,1,1,0,1,1,California,Unemployed,Personal L3,Offer1,Agent,Four-Door Car,Small
8197.197078,0,110,27,87,0,3,0,0,528,0,1,1,1,1,2,California,Unemployed,Personal L3,Offer2,Agent,SUV,Medsize
8798.797003,77026,110,9,82,2,3,0,1,472.029737,2,2,2,1,0,0,California,Employed,Corporate L1,Offer2,Agent,Four-Door Car,Medsize
8819.018934,99845,110,23,25,1,8,1,1,528,0,0,1,1,0,2,Arizona,Employed,Corporate L3,Offer2,Branch,SUV,Medsize
5384.431665,83689,70,21,10,2,8,0,1,307.139132,0,1,2,0,0,0,California,Employed,Corporate L3,Offer4,Call Center,Four-Door Car,Medsize
7463.139377,24599,64,12,50,1,2,0,0,42.920271,0,1,0,1,0,0,Oregon,Employed,Corporate L2,Offer2,Branch,Four-Door Car,Medsize
2566.867823,25049,67,14,7,0,1,0,1,454.245098,0,0,1,1,1,2,Nevada,Medical Leave,Personal L3,Offer2,Call Center,Two-Door Car,Medsize
3945.241604,28855,101,12,59,0,1,0,1,647.442031,0,1,1,1,1,2,California,Medical Leave,Personal L2,Offer3,Call Center,SUV,Medsize
5710.333115,51148,72,9,1,0,7,0,1,308.981664,0,1,2,1,1,1,Oregon,Employed,Personal L2,Offer2,Branch,Four-Door Car,Medsize
8162.617053,66140,101,11,21,0,3,0,0,484.8,2,0,1,1,0,0,California,Employed,Corporate L2,Offer1,Call Center,Four-Door Car,Small
2872.051273,57749,74,31,21,0,1,0,1,355.2,0,0,1,0,1,2,Oregon,Employed,Personal L2,Offer1,Branch,Two-Door Car,Medsize
3041.791561,13789,79,8,49,0,1,0,0,379.2,1,1,1,0,1,1,Washington,Disabled,Personal L3,Offer4,Call Center,Four-Door Car,Medsize
24127.50402,14072,71,13,3,0,2,1,1,511.2,0,1,1,0,1,1,Arizona,Medical Leave,Personal L3,Offer1,Agent,Four-Door Car,Medsize
2450.190996,0,73,4,44,3,1,0,0,554.376763,0,1,1,0,0,0,Nevada,Unemployed,Corporate L3,Offer1,Branch,Four-Door Car,Medsize
2392.10789,17870,61,30,91,0,1,0,0,439.2,0,1,1,1,0,0,California,Disabled,Corporate L2,Offer2,Branch,Four-Door Car,Medsize
5802.065978,97541,72,22,1,0,3,0,1,389.185006,0,1,1,1,1,1,Oregon,Employed,Personal L3,Offer2,Call Center,Four-Door Car,Large
3946.372085,0,111,15,47,0,1,0,0,799.2,2,1,1,0,1,1,California,Unemployed,Personal L3,Offer1,Agent,Four-Door Car,Small
5346.916576,10511,139,33,64,0,1,0,0,516.237951,1,2,2,1,0,0,Washington,Disabled,Corporate L1,Offer1,Branch,SUV,Medsize
12902.56014,86584,111,33,54,2,2,0,0,532.8,2,1,1,0,1,1,Arizona,Employed,Personal L3,Offer1,Call Center,Four-Door Car,Large
3235.360468,75690,80,17,44,1,1,0,0,384,1,2,1,1,1,1,Oregon,Employed,Personal L3,Offer2,Branch,Four-Door Car,Small
2454.58354,23158,63,4,6,1,1,0,1,322.294043,0,1,1,1,1,1,Arizona,Employed,Personal L2,Offer4,Call Center,Four-Door Car,Small
18975.45611,65999,237,1,14,0,6,0,1,615.927769,1,0,2,1,0,0,Nevada,Employed,Corporate L2,Offer2,Agent,Luxury SUV,Medsize
4715.321344,0,65,19,56,0,3,0,1,308.15089,0,1,2,1,1,1,California,Unemployed,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
5018.885233,54500,63,28,17,0,6,0,1,302.4,0,1,1,1,0,2,Washington,Employed,Corporate L2,Offer1,Agent,Two-Door Car,Small
4932.916345,37260,62,19,42,0,8,0,0,15.437681,0,1,0,1,0,0,Oregon,Employed,Corporate L1,Offer3,Web,Four-Door Car,Medsize
5744.229745,68987,71,11,40,0,6,0,0,204.475147,0,0,2,1,1,1,Arizona,Employed,Personal L1,Offer1,Branch,Four-Door Car,Medsize
